data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2019,1,Region 1,Fentanyl,1/31/2019,3420,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,2,Region 1,Fentanyl,2/28/2019,3434,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,3,Region 1,Fentanyl,3/31/2019,3443,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,4,Region 1,Fentanyl,4/30/2019,3440,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,5,Region 1,Fentanyl,5/31/2019,3439,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,6,Region 1,Fentanyl,6/30/2019,3461,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,7,Region 1,Fentanyl,7/31/2019,3464,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,8,Region 1,Fentanyl,8/31/2019,3539,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,9,Region 1,Fentanyl,9/30/2019,3553,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,10,Region 1,Fentanyl,10/31/2019,3620,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,11,Region 1,Fentanyl,11/30/2019,3653,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,12,Region 1,Fentanyl,12/31/2019,3719,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,1,Region 1,Fentanyl,1/31/2020,3763,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,2,Region 1,Fentanyl,2/29/2020,3815,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,3,Region 1,Fentanyl,3/31/2020,3833,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,4,Region 1,Fentanyl,4/30/2020,3926,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,5,Region 1,Fentanyl,5/31/2020,4030,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,6,Region 1,Fentanyl,6/30/2020,4039,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,7,Region 1,Fentanyl,7/31/2020,4112,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,8,Region 1,Fentanyl,8/31/2020,4062,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,9,Region 1,Fentanyl,9/30/2020,4105,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,10,Region 1,Fentanyl,10/31/2020,4091,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,11,Region 1,Fentanyl,11/30/2020,4093,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,12,Region 1,Fentanyl,12/31/2020,4117,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,1,Region 1,Fentanyl,1/31/2021,4194,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,2,Region 1,Fentanyl,2/28/2021,4201,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,3,Region 1,Fentanyl,3/31/2021,4283,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,4,Region 1,Fentanyl,4/30/2021,4288,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,5,Region 1,Fentanyl,5/31/2021,4278,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,6,Region 1,Fentanyl,6/30/2021,4335,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,7,Region 1,Fentanyl,7/31/2021,4342,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,8,Region 1,Fentanyl,8/31/2021,4469,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,9,Region 1,Fentanyl,9/30/2021,4570,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
