data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2019,1,United States,Cocaine,2019-01-31,15613.0,
2025-01-05,2019,1,United States,Fentanyl,2019-01-31,30367.0,
2025-01-05,2019,1,United States,Gabapentin,2019-01-31,1935.0,
2025-01-05,2019,1,United States,Heroin,2019-01-31,15475.0,
2025-01-05,2019,1,United States,Methamphetamine,2019-01-31,12059.0,
2025-01-05,2019,1,United States,Oxycodone,2019-01-31,5029.0,
2025-01-05,2019,1,United States,Xylazine,2019-01-31,359.0,
2025-01-05,2019,2,United States,Cocaine,2019-02-28,15607.0,
2025-01-05,2019,2,United States,Fentanyl,2019-02-28,30533.0,
2025-01-05,2019,2,United States,Gabapentin,2019-02-28,1955.0,
2025-01-05,2019,2,United States,Heroin,2019-02-28,15455.0,
2025-01-05,2019,2,United States,Methamphetamine,2019-02-28,12219.0,
2025-01-05,2019,2,United States,Oxycodone,2019-02-28,4976.0,
2025-01-05,2019,2,United States,Xylazine,2019-02-28,374.0,
2025-01-05,2019,3,United States,Cocaine,2019-03-31,15568.0,
2025-01-05,2019,3,United States,Fentanyl,2019-03-31,30818.0,
2025-01-05,2019,3,United States,Gabapentin,2019-03-31,1966.0,
2025-01-05,2019,3,United States,Heroin,2019-03-31,15390.0,
2025-01-05,2019,3,United States,Methamphetamine,2019-03-31,12476.0,
2025-01-05,2019,3,United States,Oxycodone,2019-03-31,4894.0,
2025-01-05,2019,3,United States,Xylazine,2019-03-31,422.0,
2025-01-05,2019,4,United States,Cocaine,2019-04-30,15565.0,
2025-01-05,2019,4,United States,Fentanyl,2019-04-30,31035.0,
2025-01-05,2019,4,United States,Gabapentin,2019-04-30,1940.0,
2025-01-05,2019,4,United States,Heroin,2019-04-30,15288.0,
2025-01-05,2019,4,United States,Methamphetamine,2019-04-30,12708.0,
2025-01-05,2019,4,United States,Oxycodone,2019-04-30,4852.0,
2025-01-05,2019,4,United States,Xylazine,2019-04-30,463.0,
2025-01-05,2019,5,United States,Cocaine,2019-05-31,15554.0,
2025-01-05,2019,5,United States,Fentanyl,2019-05-31,31226.0,
2025-01-05,2019,5,United States,Gabapentin,2019-05-31,1932.0,
2025-01-05,2019,5,United States,Heroin,2019-05-31,15195.0,
2025-01-05,2019,5,United States,Methamphetamine,2019-05-31,12969.0,
2025-01-05,2019,5,United States,Oxycodone,2019-05-31,4794.0,
2025-01-05,2019,5,United States,Xylazine,2019-05-31,488.0,
2025-01-05,2019,6,United States,Cocaine,2019-06-30,15537.0,
2025-01-05,2019,6,United States,Fentanyl,2019-06-30,31432.0,
2025-01-05,2019,6,United States,Gabapentin,2019-06-30,1993.0,
2025-01-05,2019,6,United States,Heroin,2019-06-30,15054.0,
2025-01-05,2019,6,United States,Methamphetamine,2019-06-30,13201.0,
2025-01-05,2019,6,United States,Oxycodone,2019-06-30,4749.0,
2025-01-05,2019,6,United States,Xylazine,2019-06-30,530.0,
2025-01-05,2019,7,United States,Cocaine,2019-07-31,15643.0,
2025-01-05,2019,7,United States,Fentanyl,2019-07-31,31861.0,
2025-01-05,2019,7,United States,Gabapentin,2019-07-31,2093.0,
2025-01-05,2019,7,United States,Heroin,2019-07-31,14959.0,
2025-01-05,2019,7,United States,Methamphetamine,2019-07-31,13487.0,
2025-01-05,2019,7,United States,Oxycodone,2019-07-31,4711.0,
2025-01-05,2019,7,United States,Xylazine,2019-07-31,607.0,
2025-01-05,2019,8,United States,Cocaine,2019-08-31,15822.0,
2025-01-05,2019,8,United States,Fentanyl,2019-08-31,32383.0,
2025-01-05,2019,8,United States,Gabapentin,2019-08-31,2153.0,
2025-01-05,2019,8,United States,Heroin,2019-08-31,14831.0,
2025-01-05,2019,8,United States,Methamphetamine,2019-08-31,13756.0,
2025-01-05,2019,8,United States,Oxycodone,2019-08-31,4636.0,
2025-01-05,2019,8,United States,Xylazine,2019-08-31,653.0,
2025-01-05,2019,9,United States,Cocaine,2019-09-30,16018.0,
2025-01-05,2019,9,United States,Fentanyl,2019-09-30,32943.0,
2025-01-05,2019,9,United States,Gabapentin,2019-09-30,2218.0,
2025-01-05,2019,9,United States,Heroin,2019-09-30,14705.0,
2025-01-05,2019,9,United States,Methamphetamine,2019-09-30,14095.0,
2025-01-05,2019,9,United States,Oxycodone,2019-09-30,4621.0,
2025-01-05,2019,9,United States,Xylazine,2019-09-30,704.0,
2025-01-05,2019,10,United States,Cocaine,2019-10-31,16296.0,
2025-01-05,2019,10,United States,Fentanyl,2019-10-31,33641.0,
2025-01-05,2019,10,United States,Gabapentin,2019-10-31,2354.0,
2025-01-05,2019,10,United States,Heroin,2019-10-31,14602.0,
2025-01-05,2019,10,United States,Methamphetamine,2019-10-31,14473.0,
2025-01-05,2019,10,United States,Oxycodone,2019-10-31,4619.0,
2025-01-05,2019,10,United States,Xylazine,2019-10-31,749.0,
2025-01-05,2019,11,United States,Cocaine,2019-11-30,16679.0,
2025-01-05,2019,11,United States,Fentanyl,2019-11-30,34549.0,
2025-01-05,2019,11,United States,Gabapentin,2019-11-30,2496.0,
2025-01-05,2019,11,United States,Heroin,2019-11-30,14658.0,
2025-01-05,2019,11,United States,Methamphetamine,2019-11-30,14810.0,
